Hogar,Sector,Zona,Comuna,DirCoordX,DirCoordY,Fecha,DiaAsig,TipoDia,Temporada,NumPer,NumVeh,NumBicAdulto,NumBicNino,Propiedad,MontoDiv,ImputadoDiv,MontoArr,ImputadoArr,IngresoHogar,Factor
123901,1,154,HUECHURABA,343344.736904297,6307466.42483153,2013-02-08 00:00:00.000000,viernes,1,2,1,0,0,0,5,NA,0,157800,1,150000,74.706184387207
123911,1,150,HUECHURABA,344569.76432374,6308738.14768935,2013-03-13 00:00:00.000000,miércoles,1,1,6,3,3,0,1,NA,0,800000,0,587833,170.931350708008
123921,1,150,HUECHURABA,344569.76432374,6308738.14768935,2013-03-13 00:00:00.000000,miércoles,1,1,3,3,0,0,1,NA,0,800000,0,781719,91.0232315063477
123930,1,150,HUECHURABA,344720.109339835,6308958.27997854,2013-03-13 00:00:00.000000,miércoles,1,1,1,1,0,0,1,NA,0,172722,1,200000,72.9448394775391
123941,1,150,HUECHURABA,344537.575246224,6309004.04608238,2013-03-13 00:00:00.000000,miércoles,1,1,1,0,0,0,4,NA,0,200000,0,350000,84.2722778320313
123951,1,144,HUECHURABA,347335.211942,6305663.96184,2013-09-29 00:00:00.000000,domingo,2,1,4,0,2,0,1,NA,0,150000,0,620733,80.3442230224609
123961,1,148,HUECHURABA,349196.518915569,6305323.17270804,2013-09-28 00:00:00.000000,sábado,2,1,2,0,0,0,1,NA,0,150000,0,29685,86.2533721923828
123971,1,148,HUECHURABA,349319.783665718,6305318.8804442,2013-09-28 00:00:00.000000,sábado,2,1,2,1,1,0,1,NA,0,200000,0,674734,74.6596527099609
123981,1,148,HUECHURABA,349319.783665718,6305318.8804442,2013-09-30 00:00:00.000000,lunes,1,1,5,0,3,1,1,NA,0,100000,0,256004,130.647445678711
123991,1,148,HUECHURABA,349188.97095,6305324.25506,2013-09-30 00:00:00.000000,lunes,1,1,3,0,2,0,1,NA,0,120000,0,670199,87.3214797973633
124001,1,156,HUECHURABA,347711.312266,6306945.5,2013-06-05 00:00:00.000000,miércoles,1,1,2,0,1,0,1,NA,0,100000,0,542661,143.282470703125
124011,1,155,HUECHURABA,347538.157364,6306834.14636,2012-09-12 00:00:00.000000,miércoles,1,1,2,0,0,0,1,NA,0,100000,0,255000,98.8082580566406
124021,1,156,HUECHURABA,347606.874610285,6306868.00781909,2012-09-12 00:00:00.000000,miércoles,1,1,2,0,0,0,1,NA,0,90000,0,150000,143.282470703125
124031,1,150,HUECHURABA,344894.930709397,6307771.30925428,2013-03-21 00:00:00.000000,jueves,1,1,1,0,0,0,5,NA,0,500000,0,75000,84.2722778320313
124040,1,144,HUECHURABA,347061.763995,6305619.68141,2013-06-08 00:00:00.000000,sábado,2,1,3,1,1,0,1,NA,0,150000,0,800000,86.4440536499023
124051,1,149,HUECHURABA,348432.226627,6306950.60078,2012-09-22 00:00:00.000000,sábado,2,1,4,0,0,0,5,NA,0,40000,0,100030,73.0042419433594
124061,1,154,HUECHURABA,343398.304004814,6308431.03023882,2013-04-21 00:00:00.000000,domingo,2,1,2,1,0,0,1,NA,0,260000,0,1693858,102.721229553223
124071,1,154,HUECHURABA,343398.815872953,6308428.15473374,2013-04-21 00:00:00.000000,domingo,2,1,4,2,0,0,1,NA,0,270000,0,2612400,64.9162979125977
124081,1,154,HUECHURABA,343398.304004814,6308431.03023882,2013-04-21 00:00:00.000000,domingo,2,1,4,1,0,0,1,NA,0,280000,0,2178210,83.6632461547852
124090,1,151,HUECHURABA,342983.659149531,6307005.74184164,2013-02-15 00:00:00.000000,viernes,1,2,3,0,0,0,1,NA,0,140095,1,200479,79.8855285644531
124101,1,148,HUECHURABA,348377.973734,6306023.8631,2012-09-13 00:00:00.000000,jueves,1,1,3,0,0,0,1,NA,0,100000,0,686588,87.3214797973633
124110,1,145,HUECHURABA,348576,6305698,2012-09-28 00:00:00.000000,viernes,1,1,1,0,0,0,1,NA,0,100000,0,120000,28.1217212677002
124122,1,149,HUECHURABA,348453.127969,6306753.85676,2013-06-02 00:00:00.000000,domingo,2,1,4,0,0,0,1,NA,0,200000,0,1200000,73.0042419433594
124131,1,149,HUECHURABA,348422.969564,6306740.62992,2013-09-28 00:00:00.000000,sábado,2,1,1,0,0,0,1,NA,0,100000,0,73594,56.426082611084
124140,1,154,HUECHURABA,343946.80908963,6308045.79754084,2013-04-08 00:00:00.000000,lunes,1,1,3,1,0,0,1,NA,0,170000,0,850000,103.993278503418
124150,1,148,HUECHURABA,349351.599847,6305467.53101,2013-10-12 00:00:00.000000,sábado,2,1,6,0,2,1,1,NA,0,300000,0,1093483,163.979949951172
124161,1,148,HUECHURABA,347854.510295,6306140.67996,2012-09-28 00:00:00.000000,viernes,1,1,3,0,0,0,1,NA,0,80000,0,465000,87.3214797973633
124170,1,148,HUECHURABA,349363,6305557,2012-09-13 00:00:00.000000,jueves,1,1,2,0,0,0,1,NA,0,100000,0,320000,86.2533721923828
